antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Automotive,Sports,0.19995026112907238,0.19000248694354638,0.0376,0.1878,0.9885,1.0,-0.0004,0.9973,-0.014375512324186707,0.10656316160903316,-0.00270561530694702,0.1927274621656117
Sports,Automotive,0.19000248694354638,0.19995026112907238,0.0376,0.1976,0.9885,1.0,-0.0004,0.9971,-0.014201470458536251,0.10656316160903316,-0.002882673363203025,0.1927274621656117
Books,Beauty,0.19124595871673714,0.2131310619248943,0.0395,0.2068,0.9701,1.0,-0.0012,0.992,-0.03669037674052924,0.10838445807770962,-0.008094147586880353,0.196146475214443
Beauty,Books,0.2131310619248943,0.19124595871673714,0.0395,0.1855,0.9701,1.0,-0.0012,0.993,-0.037672398951737775,0.10838445807770962,-0.0070664708980812015,0.196146475214443
Toys,Clothing,0.20989803531459836,0.20343198209400645,0.04,0.1908,0.9377,1.0,-0.0027,0.9843,-0.0775660585600207,0.10726182544970021,-0.015910365430513145,0.19378990486564157
Clothing,Toys,0.20343198209400645,0.20989803531459836,0.04,0.1968,0.9377,1.0,-0.0027,0.9837,-0.07698489692031767,0.10726182544970021,-0.016550420080760762,0.19378990486564157
Electronics,Groceries,0.18826162646107933,0.1701069385724944,0.0298,0.1585,0.9319,1.0,-0.0022,0.9862,-0.08260490738919021,0.09084027252081757,-0.013961392798172968,0.1669795360263274
Groceries,Electronics,0.1701069385724944,0.18826162646107933,0.0298,0.1754,0.9319,1.0,-0.0022,0.9844,-0.08094411853810345,0.09084027252081757,-0.01579699862401098,0.1669795360263274
Home & Kitchen,Automotive,0.19920417806515792,0.19995026112907238,0.0371,0.186,0.9303,1.0,-0.0028,0.9829,-0.08553239748024892,0.10233516483516482,-0.01741489597437459,0.18567043061844335
Automotive,Home & Kitchen,0.19995026112907238,0.19920417806515792,0.0371,0.1853,0.9303,1.0,-0.0028,0.983,-0.08560533223453284,0.10233516483516482,-0.017333750502147655,0.18567043061844335
Pet Supplies,Toys,0.20691370305894055,0.20989803531459836,0.0403,0.1947,0.9276,1.0,-0.0031,0.9811,-0.08953798217911113,0.10700132100396301,-0.019220932907193528,0.1933273332118119
Toys,Pet Supplies,0.20989803531459836,0.20691370305894055,0.0403,0.1919,0.9276,1.0,-0.0031,0.9815,-0.08984579472306703,0.10700132100396301,-0.018876350725761992,0.1933273332118119
Clothing,Home & Kitchen,0.20343198209400645,0.19920417806515792,0.0363,0.1785,0.896,1.0,-0.0042,0.9748,-0.1271990891953935,0.0991174473862865,-0.02587434888912509,0.18037813368985592
Home & Kitchen,Clothing,0.19920417806515792,0.20343198209400645,0.0363,0.1823,0.896,1.0,-0.0042,0.9741,-0.12661256762380338,0.0991174473862865,-0.02656373569878109,0.18037813368985592
Groceries,Automotive,0.1701069385724944,0.19995026112907238,0.0303,0.1784,0.892,1.0,-0.0037,0.9737,-0.12727872957074995,0.08931185944363103,-0.02698293241133088,0.16505193331587675
Automotive,Groceries,0.19995026112907238,0.1701069385724944,0.0303,0.1517,0.892,1.0,-0.0037,0.9783,-0.13140259556310974,0.08931185944363103,-0.022130134464029852,0.16505193331587675
Beauty,Toys,0.2131310619248943,0.20989803531459836,0.0398,0.1867,0.8895,1.0,-0.0049,0.9715,-0.1363862788047522,0.10382868267358858,-0.029363618099606678,0.18813562133973355
Toys,Beauty,0.20989803531459836,0.2131310619248943,0.0398,0.1896,0.8895,1.0,-0.0049,0.9709,-0.13590404373516848,0.10382868267358858,-0.029938406600319975,0.18813562133973355
Sports,Clothing,0.19000248694354638,0.20343198209400645,0.0343,0.1806,0.8879,1.0,-0.0043,0.9722,-0.13484370187865724,0.09556786703601107,-0.028627448416324343,0.17466621436526325
Clothing,Sports,0.20343198209400645,0.19000248694354638,0.0343,0.1687,0.8879,1.0,-0.0043,0.9744,-0.1368060491965911,0.09556786703601107,-0.026294315872602395,0.17466621436526325
Pet Supplies,Home & Kitchen,0.20691370305894055,0.19920417806515792,0.0366,0.1767,0.8869,1.0,-0.0047,0.9726,-0.13846925723359213,0.09892328398384927,-0.028123880195891047,0.1801016457793143
Home & Kitchen,Pet Supplies,0.19920417806515792,0.20691370305894055,0.0366,0.1835,0.8869,1.0,-0.0047,0.9713,-0.1373192268788103,0.09892328398384927,-0.029496290502347117,0.1801016457793143
Electronics,Books,0.18826162646107933,0.19124595871673714,0.0318,0.1691,0.8841,1.0,-0.0042,0.9733,-0.1389939349225224,0.09155937052932762,-0.027397020997951067,0.16776922112300796
Books,Electronics,0.19124595871673714,0.18826162646107933,0.0318,0.1664,0.8841,1.0,-0.0042,0.9738,-0.13943531231070436,0.09155937052932762,-0.02687034664320864,0.16776922112300796
Books,Toys,0.19124595871673714,0.20989803531459836,0.0353,0.1847,0.8797,1.0,-0.0048,0.969,-0.14458782079068178,0.0965329707681849,-0.03194858363080221,0.176450921058308
Toys,Books,0.20989803531459836,0.19124595871673714,0.0353,0.1682,0.8797,1.0,-0.0048,0.9723,-0.147497675684256,0.0965329707681849,-0.028438204998163744,0.176450921058308
Home & Kitchen,Toys,0.19920417806515792,0.20989803531459836,0.0366,0.1835,0.8743,1.0,-0.0053,0.9677,-0.1521716935609542,0.09813084112149532,-0.03338485061755902,0.1788456076823402
Toys,Home & Kitchen,0.20989803531459836,0.19920417806515792,0.0366,0.1742,0.8743,1.0,-0.0053,0.9697,-0.15391430062176625,0.09813084112149532,-0.03126085484678108,0.1788456076823402
Groceries,Toys,0.1701069385724944,0.20989803531459836,0.0311,0.1827,0.8707,1.0,-0.0046,0.9668,-0.15183328046588435,0.08909479686386314,-0.03436201720332727,0.16542640170726974
Toys,Groceries,0.20989803531459836,0.1701069385724944,0.0311,0.1481,0.8707,1.0,-0.0046,0.9742,-0.15826967587686214,0.08909479686386314,-0.026512660717760216,0.16542640170726974
Clothing,Electronics,0.20343198209400645,0.18826162646107933,0.0333,0.1638,0.8701,1.0,-0.005,0.9708,-0.15779001361815004,0.0929909784871617,-0.030117395368905498,0.17041435598634425
Electronics,Clothing,0.18826162646107933,0.20343198209400645,0.0333,0.177,0.8701,1.0,-0.005,0.9679,-0.15529907993232733,0.0929909784871617,-0.03316408700396877,0.17041435598634425
Clothing,Books,0.20343198209400645,0.19124595871673714,0.0338,0.1663,0.8693,1.0,-0.0051,0.97,-0.1587233533026648,0.09372846312887663,-0.030895412866109088,0.17155611231046575
Books,Clothing,0.19124595871673714,0.20343198209400645,0.0338,0.1769,0.8693,1.0,-0.0051,0.9677,-0.1567065427546153,0.09372846312887663,-0.03336680054906262,0.17155611231046575
Electronics,Sports,0.18826162646107933,0.19000248694354638,0.0311,0.1651,0.8691,1.0,-0.0047,0.9702,-0.15654207056517877,0.08954154727793695,-0.030712429564368822,0.16436903041075615
Sports,Electronics,0.19000248694354638,0.18826162646107933,0.0311,0.1636,0.8691,1.0,-0.0047,0.9705,-0.15682575054675585,0.08954154727793695,-0.030365770326455193,0.16436903041075615
Electronics,Pet Supplies,0.18826162646107933,0.20691370305894055,0.0338,0.1797,0.8683,1.0,-0.0051,0.9668,-0.15747278276317578,0.09359944941500344,-0.03436847187305435,0.1715590387155777
Pet Supplies,Electronics,0.20691370305894055,0.18826162646107933,0.0338,0.1635,0.8683,1.0,-0.0051,0.9704,-0.16058156819026373,0.09359944941500344,-0.030551824095022617,0.1715590387155777
Sports,Home & Kitchen,0.19000248694354638,0.19920417806515792,0.0328,0.1728,0.8673,1.0,-0.005,0.9681,-0.1588523935858005,0.09211444521981857,-0.033003804754316905,0.1687844383002922
Home & Kitchen,Sports,0.19920417806515792,0.19000248694354638,0.0328,0.1648,0.8673,1.0,-0.005,0.9698,-0.1603849618356801,0.09211444521981857,-0.031121675124393535,0.1687844383002922
Groceries,Home & Kitchen,0.1701069385724944,0.19920417806515792,0.0293,0.1725,0.866,1.0,-0.0045,0.9677,-0.1571284237925218,0.08632040965618143,-0.033328792996985185,0.15991523753203235
Home & Kitchen,Groceries,0.19920417806515792,0.1701069385724944,0.0293,0.1473,0.866,1.0,-0.0045,0.9733,-0.16191333271573077,0.08632040965618143,-0.027462674952683126,0.15991523753203235
Pet Supplies,Automotive,0.20691370305894055,0.19995026112907238,0.0358,0.1731,0.8656,1.0,-0.0056,0.9675,-0.1637237762237763,0.09651474530831097,-0.03358958418019657,0.17609070034443167
Automotive,Pet Supplies,0.19995026112907238,0.20691370305894055,0.0358,0.1791,0.8656,1.0,-0.0056,0.9661,-0.1625303713988199,0.09651474530831097,-0.03506456429049488,0.17609070034443167
Home & Kitchen,Books,0.19920417806515792,0.19124595871673714,0.0328,0.1648,0.8617,1.0,-0.0053,0.9683,-0.16697534675062756,0.0917941585535466,-0.03270704055355159,0.16822275146963567
Books,Home & Kitchen,0.19124595871673714,0.19920417806515792,0.0328,0.1717,0.8617,1.0,-0.0053,0.9667,-0.16560438983713044,0.0917941585535466,-0.034406626335726796,0.16822275146963567
Pet Supplies,Books,0.20691370305894055,0.19124595871673714,0.0341,0.1647,0.861,1.0,-0.0055,0.9682,-0.16912693220545277,0.0935792349726776,-0.03286845668937456,0.17140845378613584
Books,Pet Supplies,0.19124595871673714,0.20691370305894055,0.0341,0.1782,0.861,1.0,-0.0055,0.965,-0.1663956740979128,0.0935792349726776,-0.036263716995311814,0.17140845378613584
Toys,Sports,0.20989803531459836,0.19000248694354638,0.0343,0.1635,0.8606,1.0,-0.0056,0.9683,-0.1701883621277047,0.09387755102040815,-0.03271044356522663,0.17206769062802413
Sports,Toys,0.19000248694354638,0.20989803531459836,0.0343,0.1806,0.8606,1.0,-0.0056,0.9643,-0.16670498197944325,0.09387755102040815,-0.037045551550987384,0.17206769062802413
Automotive,Electronics,0.19995026112907238,0.18826162646107933,0.0323,0.1617,0.8589,1.0,-0.0053,0.9683,-0.17039602624834355,0.09084556254367576,-0.0327323248951322,0.1667110287400514
Electronics,Automotive,0.18826162646107933,0.19995026112907238,0.0323,0.1717,0.8589,1.0,-0.0053,0.9659,-0.1683554872623074,0.09084556254367576,-0.03527248940466125,0.1667110287400514
Toys,Electronics,0.20989803531459836,0.18826162646107933,0.0338,0.1611,0.8559,1.0,-0.0057,0.9677,-0.17563019438148234,0.09283276450511944,-0.033414935879565094,0.17039698986395538
Electronics,Toys,0.18826162646107933,0.20989803531459836,0.0338,0.1797,0.8559,1.0,-0.0057,0.9631,-0.1717529050892238,0.09283276450511944,-0.038275434939619254,0.17039698986395538
Home & Kitchen,Electronics,0.19920417806515792,0.18826162646107933,0.0321,0.161,0.8555,1.0,-0.0054,0.9676,-0.1742407977289534,0.09027291812456263,-0.03352427113167363,0.16572910018355524
Electronics,Home & Kitchen,0.18826162646107933,0.19920417806515792,0.0321,0.1704,0.8555,1.0,-0.0054,0.9653,-0.17229665974712202,0.09027291812456263,-0.03595756377331244,0.16572910018355524
Toys,Automotive,0.20989803531459836,0.19995026112907238,0.0358,0.1706,0.8533,1.0,-0.0062,0.9646,-0.17871607065919884,0.09574468085106383,-0.036665404611461366,0.17486029567800804
Automotive,Toys,0.19995026112907238,0.20989803531459836,0.0358,0.1791,0.8533,1.0,-0.0062,0.9625,-0.17688699360341167,0.09574468085106383,-0.03897415660131829,0.17486029567800804
Sports,Pet Supplies,0.19000248694354638,0.20691370305894055,0.0331,0.1741,0.8413,1.0,-0.0062,0.9603,-0.18885430944730297,0.09090909090909093,-0.04139515907923009,0.16696976943213857
Pet Supplies,Sports,0.20691370305894055,0.19000248694354638,0.0331,0.1599,0.8413,1.0,-0.0062,0.9641,-0.1921076892600266,0.09090909090909093,-0.037218284287097586,0.16696976943213857
Beauty,Automotive,0.2131310619248943,0.19995026112907238,0.0358,0.168,0.8403,1.0,-0.0068,0.9616,-0.19448392913970527,0.09492419248516808,-0.03990033982971884,0.1735662411396924
Automotive,Beauty,0.19995026112907238,0.2131310619248943,0.0358,0.1791,0.8403,1.0,-0.0068,0.9585,-0.1918946641267716,0.09492419248516808,-0.04324301375549565,0.1735662411396924
Sports,Groceries,0.19000248694354638,0.1701069385724944,0.0269,0.1414,0.831,1.0,-0.0055,0.9665,-0.20067081151832453,0.08059701492537315,-0.03463781463426877,0.14962799669330396
Groceries,Sports,0.1701069385724944,0.19000248694354638,0.0269,0.1579,0.831,1.0,-0.0055,0.9619,-0.19680680359435165,0.08059701492537315,-0.03963931936072909,0.14962799669330396
Sports,Books,0.19000248694354638,0.19124595871673714,0.0301,0.1584,0.8281,1.0,-0.0062,0.9609,-0.20396023204705577,0.08569405099150142,-0.04064152225291885,0.15786208375601685
Books,Sports,0.19124595871673714,0.19000248694354638,0.0301,0.1573,0.8281,1.0,-0.0062,0.9612,-0.20420978548619015,0.08569405099150142,-0.04031528770881802,0.15786208375601685
Clothing,Automotive,0.20343198209400645,0.19995026112907238,0.0336,0.165,0.8254,1.0,-0.0071,0.9582,-0.2098468319317595,0.09078681909885677,-0.04363926968055555,0.16647356128891
Automotive,Clothing,0.19995026112907238,0.20343198209400645,0.0336,0.1679,0.8254,1.0,-0.0071,0.9573,-0.2091245820676995,0.09078681909885677,-0.04459322183959997,0.16647356128891
Electronics,Beauty,0.18826162646107933,0.2131310619248943,0.0331,0.1757,0.8243,1.0,-0.007,0.9546,-0.20792310443229664,0.0898041863605672,-0.04757785322660645,0.16544302958463136
Beauty,Electronics,0.2131310619248943,0.18826162646107933,0.0331,0.1552,0.8243,1.0,-0.007,0.9609,-0.21309427639649337,0.0898041863605672,-0.04073861166403551,0.16544302958463136
Pet Supplies,Groceries,0.20691370305894055,0.1701069385724944,0.0288,0.1394,0.8196,1.0,-0.0063,0.9643,-0.21721797128927406,0.08285714285714285,-0.0369732717088126,0.15450686009896536
Groceries,Pet Supplies,0.1701069385724944,0.20691370305894055,0.0288,0.1696,0.8196,1.0,-0.0063,0.9551,-0.20960338462543693,0.08285714285714285,-0.04706052787451014,0.15450686009896536
Automotive,Books,0.19995026112907238,0.19124595871673714,0.0313,0.1567,0.8194,1.0,-0.0069,0.9591,-0.21593045658178786,0.08707671043538355,-0.04269473664885902,0.16028278632843584
Books,Automotive,0.19124595871673714,0.19995026112907238,0.0313,0.1638,0.8194,1.0,-0.0069,0.9568,-0.21410405422511714,0.08707671043538355,-0.045123577483565235,0.16028278632843584
Groceries,Books,0.1701069385724944,0.19124595871673714,0.0266,0.1564,0.818,1.0,-0.0059,0.9587,-0.2114560696807476,0.07949479940564635,-0.043045485279414195,0.14778724553038425
Books,Groceries,0.19124595871673714,0.1701069385724944,0.0266,0.1391,0.818,1.0,-0.0059,0.964,-0.21579038702945363,0.07949479940564635,-0.03731227249505387,0.14778724553038425
Groceries,Clothing,0.1701069385724944,0.20343198209400645,0.0276,0.1623,0.7977,1.0,-0.007,0.9509,-0.23404426908856296,0.07979870596693027,-0.051660723773216975,0.1489887616351392
Clothing,Groceries,0.20343198209400645,0.1701069385724944,0.0276,0.1357,0.7977,1.0,-0.007,0.9602,-0.24147134499929593,0.07979870596693027,-0.04146331455936365,0.1489887616351392
Clothing,Pet Supplies,0.20343198209400645,0.20691370305894055,0.0333,0.1638,0.7917,1.0,-0.0088,0.9485,-0.2482853559944233,0.08839050131926121,-0.054344050951429135,0.16243593661839384
Pet Supplies,Clothing,0.20691370305894055,0.20343198209400645,0.0333,0.1611,0.7917,1.0,-0.0088,0.9495,-0.24910382928475017,0.08839050131926121,-0.053196072191935416,0.16243593661839384
Sports,Beauty,0.19000248694354638,0.2131310619248943,0.0318,0.1675,0.7861,1.0,-0.0087,0.9452,-0.2514740841287283,0.08573342263898193,-0.05794077349236502,0.15844874669338432
Beauty,Sports,0.2131310619248943,0.19000248694354638,0.0318,0.1494,0.7861,1.0,-0.0087,0.9522,-0.2569663078018245,0.08573342263898193,-0.05017825353452879,0.15844874669338432
Beauty,Home & Kitchen,0.2131310619248943,0.19920417806515792,0.0333,0.1564,0.7849,1.0,-0.0091,0.9492,-0.25828917513238714,0.0879265091863517,-0.05350275770599449,0.16182513981210767
Home & Kitchen,Beauty,0.19920417806515792,0.2131310619248943,0.0333,0.1673,0.7849,1.0,-0.0091,0.945,-0.25494238702313676,0.0879265091863517,-0.0582564304101542,0.16182513981210767
Beauty,Pet Supplies,0.2131310619248943,0.20691370305894055,0.0343,0.161,0.7782,1.0,-0.0098,0.9453,-0.26586611697530765,0.08897485493230173,-0.05785860306706287,0.16344611121084282
Pet Supplies,Beauty,0.20691370305894055,0.2131310619248943,0.0343,0.1659,0.7782,1.0,-0.0098,0.9433,-0.264332807317856,0.08897485493230173,-0.06006804312943695,0.16344611121084282
Groceries,Beauty,0.1701069385724944,0.2131310619248943,0.0279,0.1637,0.7683,1.0,-0.0084,0.9409,-0.2665646218454414,0.07837648705388384,-0.06276569003630021,0.14721556906657932
Beauty,Groceries,0.2131310619248943,0.1701069385724944,0.0279,0.1307,0.7683,1.0,-0.0084,0.9547,-0.2771009620484533,0.07837648705388384,-0.047498276982833466,0.14721556906657932
Clothing,Beauty,0.20343198209400645,0.2131310619248943,0.0306,0.1504,0.7055,1.0,-0.0128,0.9261,-0.34383556624451206,0.07925257731958762,-0.07976463515280402,0.1469453344098507
Beauty,Clothing,0.2131310619248943,0.20343198209400645,0.0306,0.1435,0.7055,1.0,-0.0128,0.9301,-0.3466047698597248,0.07925257731958762,-0.07520771621995276,0.1469453344098507
